Nomor Kartu: 1234 5678 9012 3456, PIN: 1234, Saldo: 5000000
Nomor Kartu: 9876 5432 1098 7654, PIN: 4321, Saldo: 7500000
Nomor Kartu: 1111 2222 3333 4444, PIN: 5555, Saldo: 10000000
Nomor Kartu: 5555 6666 7777 8888, PIN: 9999, Saldo: 12000000
Nomor Kartu: 3333 4444 5555 6666, PIN: 7777, Saldo: 8900000
Nomor Kartu: 9999 8888 7777 6666, PIN: 4444, Saldo: 6000000
Nomor Kartu: 4444 3333 2222 1111, PIN: 6666, Saldo: 11000000
Nomor Kartu: 7777 8888 9999 1111, PIN: 2222, Saldo: 9500000
Nomor Kartu: 6666 5555 4444 3333, PIN: 8888, Saldo: 7300000
Nomor Kartu: 2468 1357 8642 7901, PIN: 2468, Saldo: 8200000
Nomor Kartu: 1357 2468 9753 8642, PIN: 9753, Saldo: 6800000
Nomor Kartu: 8642 9753 2468 1357, PIN: 1230, Saldo: 9200000
Nomor Kartu: 9753 8642 1357 2468, PIN: 4567, Saldo: 5500000
Nomor Kartu: 7410 8529 9638 1475, PIN: 3690, Saldo: 8000000
Nomor Kartu: 8529 9638 7410 3690, PIN: 7410, Saldo: 6300000
Nomor Kartu: 9638 7410 8529 3690, PIN: 2580, Saldo: 11000000
Nomor Kartu: 1230 2580 3690 4567, PIN: 1593, Saldo: 7200000
Nomor Kartu: 2580 3690 4567 1230, PIN: 7532, Saldo: 8900000
Nomor Kartu: 3690 4567 1230 2580, PIN: 8521, Saldo: 9400000
Nomor Kartu: 4567 1230 2580 3690, PIN: 3690, Saldo: 6000000
Nomor Kartu: 1475 2580 3690 9638, PIN: 4567, Saldo: 7700000
Nomor Kartu: 2580 3690 9638 7410, PIN: 8529, Saldo: 6800000
Nomor Kartu: 9638 7410 3690 8529, PIN: 9638, Saldo: 9200000
Nomor Kartu: 3690 8529 9638 1475, PIN: 1230, Saldo: 5000000
Nomor Kartu: 7410 9638 1475 8529, PIN: 2580, Saldo: 11000000
Nomor Kartu: 8529 1475 7410 9638, PIN: 3690, Saldo: 8500000
Nomor Kartu: 9638 3690 8529 7410, PIN: 4567, Saldo: 7200000
Nomor Kartu: 1230 4567 2580 3690, PIN: 8521, Saldo: 9600000
Nomor Kartu: 4567 2580 3690 1230, PIN: 1593, Saldo: 6300000
Nomor Kartu: 3690 1230 2580 4567, PIN: 7532, Saldo: 8000000
Nomor Kartu: 2580 9638 7410 8529, PIN: 3690, Saldo: 8900000
Nomor Kartu: 9638 7410 3690 2580, PIN: 8529, Saldo: 7200000
Nomor Kartu: 7410 3690 8529 9638, PIN: 1230, Saldo: 6800000
Nomor Kartu: 8529 9638 1475 3690, PIN: 4567, Saldo: 9500000
Nomor Kartu: 3690 9638 7410 8529, PIN: 8521, Saldo: 7700000
Nomor Kartu: 9638 8529 3690 7410, PIN: 1593, Saldo: 9200000
Nomor Kartu: 7410 9638 1475 3690, PIN: 7532, Saldo: 6800000
Nomor Kartu: 1475 9638 7410 8529, PIN: 4567, Saldo: 11000000
Nomor Kartu: 9638 3690 7410 8529, PIN: 8521, Saldo: 8500000
Nomor Kartu: 8529 3690 9638 1475, PIN: 1593, Saldo: 5000000
Nomor Kartu: 3690 8529 7410 9638, PIN: 7532, Saldo: 6300000
Nomor Kartu: 7410 8529 9638 3690, PIN: 4567, Saldo: 9600000
Nomor Kartu: 8529 3690 7410 9638, PIN: 8521, Saldo: 7700000
Nomor Kartu: 3690 8529 9638 7410, PIN: 1593, Saldo: 8900000
Nomor Kartu: 7410 9638 8529 3690, PIN: 4567, Saldo: 6800000
Nomor Kartu: 9638 8529 7410 3690, PIN: 8521, Saldo: 9500000
Nomor Kartu: 3690 7410 9638 8529, PIN: 1230, Saldo: 11000000
Nomor Kartu: 8529 9638 3690 7410, PIN: 1593, Saldo: 6300000
Nomor Kartu: 1230 7410 8529 9638, PIN: 7532, Saldo: 8900000
Nomor Kartu: 3690 7410 8529 9638, PIN: 1230, Saldo: 5500000
Nomor Kartu: 1230 8529 9638 7410, PIN: 7532, Saldo: 8900000
Nomor Kartu: 1230 8529 7410 9638, PIN: 7532, Saldo: 7700000

